macro_region,share_nl_imports_pct,notes
Toscana,28.0,"Chianti + Brunello + Bolgheri dominant"
Piemonte,15.0,"Barolo + Barbaresco + Moscato"
Veneto,18.0,"Amarone + Prosecco + Soave"
Sicilia,10.0,"Nero d'Avola + Etna"
Puglia,11.0,"Primitivo dominant"
Abruzzo,5.0,"Montepulciano d'Abruzzo"
Friuli-Venezia Giulia,3.0,"White-wine market"
Lazio,2.5,"Frascati + Cesanese"
Umbria,2.0,"Sagrantino di Montefalco"
Trentino-Alto Adige,3.0,"Gewürztraminer + Pinot Grigio"
Other,2.5,"Sardegna + Campania + Liguria + Marche etc."
